Address,Is POH User,Timestamp,Direct Holdings (sDAI),Indirect Holdings (sDAI),Total Holdings (sDAI),Share of Holdings,Share of Holdings (PoH Users)
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1732115315,"349,025.433","107,925.602","456,951.035",69.1250%,0%
0x334f12afb7d8740868be04719639616533075234,No,1732115315,"141,469.34",0,"141,469.34",21.4007%,0%
0x2ff064d951996c9fe70d6ba22d8684f37b2e24ec,No,1732115315,"35,286.156","2,886.175","38,172.331",5.7745%,0%
0x9eb6d10f75b364662313ee3099173dc3ac4048c9,No,1732115315,"8,055.313",132.924,"8,188.237",1.2387%,0%
0x7b2e78d4dfaaba045a167a70da285e30e8fca196,No,1732115315,"7,665.071",6.206,"7,671.277",1.1605%,0%
0x04a9edd12ed304efb5e5fe83109a65e8e84799c3,No,1732115315,"3,813.053",0,"3,813.053",0.5768%,0%
0x5c16873795d083fab71d4cbf5b073d22cf38f659,Yes,1732115315,"1,181.15",0,"1,181.15",0.1787%,52.1908%
0xec9048b59b3467415b1a38f63416407ea0c70fb8,No,1732115315,876.14,0,876.14,0.1325%,0%
0x09f0d730696899de00988166aba081bd3aba3e72,No,1732115315,7.757,484.084,491.841,0.0744%,0%
0xe082bda07536420401187ba7225ff5f56c30998b,No,1732115315,224.41,155.269,379.679,0.0574%,0%
0x55122fdca4ba43294677d96c12ce76dabc459a2b,No,1732115315,2.016,80.292,82.308,0.0125%,0%
0x187e0966046da5b110fdc986c9b94bd8416837af,No,1732115315,74.331,0,74.331,0.0112%,0%
0x6687c671980e65ebd722b9146fc61e2471558dd6,Yes,1732115315,53.323,9.318,62.641,0.0095%,12.0191%
0x4735cb9fe8e3ee6d5f34f277af0fcb6442aa1894,No,1732115315,61.634,0,61.634,0.0093%,0%
0x0e22e2cf9d80593947a340ca4248c7901c2cb9cb,No,1732115315,52.533,0,52.533,0.0079%,0%
0x770569f85346b971114e11e4bb5f7ac776673469,No,1732115315,46.622,0,46.622,0.0071%,0%
0x85c6737ada32ed46066f45d28a612b7647c66410,Yes,1732115315,41.151,0,41.151,0.0062%,9.7416%
0x6428178a1324896bd8ea897565d909945da33ee9,No,1732115315,33.747,0,33.747,0.0051%,0%
0x89c4acb8b5b5b8e5b2121934b9e143569a914c80,No,1732115315,25.749,0,25.749,0.0039%,0%
0xe24f35fcc986f94d4cd7c93920a62bafae497db1,No,1732115315,18.482,0,18.482,0.0028%,0%
0xf28a1ff4cd9b579b55195cb9528ef8f7a8b10a33,No,1732115315,17.666,0,17.666,0.0027%,0%
0x470ba0f3bc80d88d3cd9cfd28dd125da0e545993,No,1732115315,17.489,0,17.489,0.0026%,0%
0x23069f1978fe4d6ec88bf0b84bca2b39d3b285e1,No,1732115315,17.076,0,17.076,0.0026%,0%
0x461cbd5765360733a02d4571591d54c8b8a517ea,No,1732115315,16.783,0,16.783,0.0025%,0%
0x4edca105188a0783ab3a6f09c50567d1e3f8591d,No,1732115315,15.932,0,15.932,0.0024%,0%
0xdbd5e2bf0e87a6361bd0b587cc4c0b3fcf5dc259,No,1732115315,15.901,0,15.901,0.0024%,0%
0x0c4f8ccbb4cf9c2ee568e33f21c807b1931726e4,No,1732115315,14.859,0,14.859,0.0022%,0%
0x989d0901ab8ed1032987a7706b58a881589fccea,No,1732115315,13.515,0,13.515,0.0020%,0%
0x71044ae277bac65c4dfcd598d07a60fc6810fb8e,No,1732115315,12.996,0,12.996,0.0020%,0%
0xca5c758a8b9892a3e1b745f2039efa9491c18f7a,No,1732115315,11.912,0,11.912,0.0018%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1732115315,10.014,1.456,11.47,0.0017%,0%
0x90dafb210c44f4b72e591e7e2f583154290e5d83,No,1732115315,10.56,0,10.56,0.0016%,0%
0x28abd3190674dc57e4d3bebeec22f78d121810d5,No,1732115315,9.681,0,9.681,0.0015%,0%
0x431f2b6e43bed4d845ac5d9b5d030dfc8987691d,No,1732115315,9.68,0,9.68,0.0015%,0%
0x978a89b0178ea8054a99f5bddb0081ea6a3c27c3,No,1732115315,9.668,0,9.668,0.0015%,0%
0xaead6593710bf28bf4848b24f4ed1f130773d7e6,No,1732115315,9.485,0,9.485,0.0014%,0%
0x91fd26ec02642bed576d4f7efac19592568e12da,No,1732115315,9.433,0,9.433,0.0014%,0%
0x1f5fae0615ee87196f229ea19d726d58846bdc0e,No,1732115315,9.395,0,9.395,0.0014%,0%
0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1,No,1732115315,9.395,0,9.395,0.0014%,0%
0x25124024390ac79659ed699b087a3e748686df7b,No,1732115315,9.395,0,9.395,0.0014%,0%
0xf94bfbd175219331f9ff323ea703ebd2a05fd33a,No,1732115315,9.395,0,9.395,0.0014%,0%
0x001fe2cdbeeb0743679e958c0861dd8788b28b19,No,1732115315,9.395,0,9.395,0.0014%,0%
0x6841ccc2fa23efe3bbe98492f026756479e4a4ec,No,1732115315,9.395,0,9.395,0.0014%,0%
0x9fbcbfdc3c66562113daba8b501d0d7d55e84688,No,1732115315,9.395,0,9.395,0.0014%,0%
0xf8d97b0de945bb3ec6d634e0fdc48b6a3b9fcb1f,No,1732115315,9.395,0,9.395,0.0014%,0%
0xa63cb29de16607dd5ac18b6cb65bead58d04ac25,No,1732115315,9.395,0,9.395,0.0014%,0%
0x8f8be6f1eac8432e3f0e460402fcb358311a86d4,No,1732115315,9.395,0,9.395,0.0014%,0%
0x68c0dd2b5a5df00bca4f7df8ca9b1425fe817728,No,1732115315,9.395,0,9.395,0.0014%,0%
0x23d2874d56bba76af9866604c76fc5347058aad7,No,1732115315,9.395,0,9.395,0.0014%,0%
0x29397b5b81579504c446e8e86c88196491be5ec5,No,1732115315,9.395,0,9.395,0.0014%,0%
0x0eb682c54bb74e0fb37894e4f0b02127e5fb865f,No,1732115315,9.395,0,9.395,0.0014%,0%
0x9ac5f8c48ade024a006206ca5ebd06f275f243ec,No,1732115315,9.395,0,9.395,0.0014%,0%
0x4ca2a670bd5505b870b21331a53d9bb4ae6e2084,No,1732115315,9.395,0,9.395,0.0014%,0%
0x1520ab7dd2ca282fca2810cb7df071c9de3e2f5c,No,1732115315,9.395,0,9.395,0.0014%,0%
0x31287a933b2e153654105013d595dcbd6664fcf9,No,1732115315,9.395,0,9.395,0.0014%,0%
0x7cd192ff8e2e3e5bf8b5e85f858c0f83e22f771d,No,1732115315,9.395,0,9.395,0.0014%,0%
0xd2946cb43fd692f8776be5c91dc523aa3fe69f1d,No,1732115315,9.395,0,9.395,0.0014%,0%
0x56f446074d3dc521786ea456e725775819e260cb,No,1732115315,9.395,0,9.395,0.0014%,0%
0xe6a46ea30a1ef48e8ab2179a203c137702147073,No,1732115315,9.395,0,9.395,0.0014%,0%
0x84d766fb6c86dd8983e5cab3d17e6630c278277e,No,1732115315,9.395,0,9.395,0.0014%,0%
0xe69d81fad86ac5295a1261930c19e7ad009aa52e,No,1732115315,9.395,0,9.395,0.0014%,0%
0xc7b6717c5c30a5645ba308afd2b0df42b850d8e3,No,1732115315,9.395,0,9.395,0.0014%,0%
0xc7baf12d871f26b09dfa61a6e9e3b2eaef7a159a,No,1732115315,9.395,0,9.395,0.0014%,0%
0xe3cd70be09c3a45b73ff5d7cfe37f8b5309ebbdc,No,1732115315,9.395,0,9.395,0.0014%,0%
0x09a2aa22db9f97aabd3da897b156d944c8c50e0f,No,1732115315,9.395,0,9.395,0.0014%,0%
0x75f04fbf12ed979873db692eab1a904abe1e2f32,No,1732115315,9.395,0,9.395,0.0014%,0%
0x409ad638c059375de57d455b78520470ed13f282,No,1732115315,9.395,0,9.395,0.0014%,0%
0x8c0733ba6295af19ae294c19b34e7d163acc7197,No,1732115315,9.395,0,9.395,0.0014%,0%
0x75202586d58c8d2ed726b4abdcda3ecdd91c1e34,No,1732115315,9.395,0,9.395,0.0014%,0%
0x91dc3d24895bb29033cbbf48ed6b5f7b0510d83c,No,1732115315,9.395,0,9.395,0.0014%,0%
0x1d6b8e5fa836c7d5846fb76f188b008c10b67ba5,No,1732115315,9.395,0,9.395,0.0014%,0%
0x5bf79c7bf66a6aa75f4fef4004bc7d527fdf8250,No,1732115315,9.395,0,9.395,0.0014%,0%
0x74aadf1281a7f5546e13f17de5101a310a33bf3f,No,1732115315,9.395,0,9.395,0.0014%,0%
0x683132fe975fac296f21919d625a94a4a86f6fa6,No,1732115315,9.395,0,9.395,0.0014%,0%
0xb7806b30034cc8d13390aa0b713dc0c326cd4358,No,1732115315,9.395,0,9.395,0.0014%,0%
0x31a026bbd8ddc0f95ad827c17c37c0d8fc25d3ff,No,1732115315,9.395,0,9.395,0.0014%,0%
0x4ddcdfbef53747089cab9d775aa461e7a088ff3c,No,1732115315,9.395,0,9.395,0.0014%,0%
0xd50ea36556e1c9abece88a1d9ad5b38261ab515b,No,1732115315,9.395,0,9.395,0.0014%,0%
0x79cda2b2fa8b3c080da06ddce3416b8e4b7c1b14,No,1732115315,9.395,0,9.395,0.0014%,0%
0x0182518980f999ad0c9527d864c15492ab3beeae,No,1732115315,9.395,0,9.395,0.0014%,0%
0x9ac0605353f447a49845365ded45fc57e609a319,No,1732115315,9.395,0,9.395,0.0014%,0%
0x3975f79ce2cae19b8d4d5e1f4b134e241bf6f10a,No,1732115315,9.395,0,9.395,0.0014%,0%
